Place Name,Rating,About Place,Best Time To Visit
Aurangabad,3.3,"Aurangabad, which was declared by the Government as the Tourism Capital of Maharashtra back in 2010, is a famous tourist hub which greets its visitors with a richly woven tapestry of sights and sounds. The city got its name for being the erstwhile capital of Mughal Emperor Aurangzeb in the 17th cent...",October to March
Jammu,3.6,"Jammu is the southernmost-part of the union territory of Jammu and Kashmir which sits proudly on the magnificent Shivalik mountain ranges. The Winter Capital of Kashmir, Jammu is a holy and peaceful city known for its majestic temples, religious shrines, glittering ""shikhars"", and cultural heritage....",September to March
Dehradun,3.3,"Nestled amidst the Doon Valley in the state of Uttarakhand, Dehradun city is a very popular hill station that beckons solo travellers, families and couples alike. Winter Capital of Uttarakhand, it proudly boasts of a scenic backdrop of the Garhwal Himalayas. Dehradun is located at an altitude of 140...",Throughout the year
Puri,4,Puri in Odisha is one of the four must-visit pilgrimage sites for Hindus because of Jagannath Temple that forms the part of Char Dham in India. Puri is a beach city located on the coast of Bay of Bengal which is one of the favourites among people of West Bengal for a short trip.,July to March
Cherrapunji,4,"Earlier the wettest place on the Earth, Cherrapunji in Meghalaya, also known as Sohra, is known for its double-decker living root bridge. Located around 50 Kms from Shillong, this sub-divisional town is famous for its rich flora and natural attractions. Although Mawsynram is now the wettest pla...",September to May
Bikaner,3.6,"Located in the midst of Thar Desert, Bikaner is a ""cultural paradise and a traveller's haven"". Bikaner with its magnificence in architecture, art and culture is filled with colour, festivity and cultural marvels.The city will mesmerize you with the camels sauntering the beautiful sand dunes, it...",October to March
Shimoga (Shivamogga),3.3,"With nature in its full bloom, the town of Shimoga has been home to several great dynasties and kingdoms. Packed with several marvels of nature in the form of picturesque landscape, gorgeous waterfalls, mystical temples and lush green surroundings, its raw beauty will leave you absolutely enchanted....",July to December
Hogenakkal,3.6,"Hogenakkal is a waterfall located in Dharmapuri district of Tamil Nadu where the Kaveri river splits into multiple streams of waterfalls. Located at a distance of 180 km from Bangalore, Hogenakkal has water throughout the year. The carbonite rocks, the coracle (basket boat) rides, freshwater fish, o...",October to March
Gir National Park,3.8,"Gir National Park and Wildlife Sanctuary is the only remaining home for the Asiatic Lions. Located in Talala Gir in Gujarat, the Sanctuary is a part of Kathiawar- Gir dry deciduous forests ecoregion. Gir National Park is closed from 16 June to 15 October every year and the best time for wildlife spo...",July to March
Kasauli,3.7,"Located on the way from Chandigarh to Shimla, Kasauli is a hilly cantonment town which makes for an ideal peaceful holiday location, especially for a weekend getaway.",Throughout the year
Pushkar,3.6,"Pushkar, a small temple town, is located around 15 km from Ajmer in Rajasthan. Every November, Pushkar is host to the Pushkar Mela, one of the biggest camel fairs in the country. Perfect choice for a weekend getaway from Jaipur, Pushkar is located amid Aravali ranges. Known for the world's only dedi...",October to March
Chittorgarh,3.6,"The capital of the erstwhile kingdom of Mewar, Chittorgarh is a land of forts, citadels, ruins, and immortal folklore of sacrifice and heroism. Located in South-Eastern Rajasthan, Chittorgarh is known for Chittorgarh Fort, the largest fort in India built on a hilltop, spreading over an area of aroun...",October to March
Nahan,3.6,"Away from the buzzing crowd of the city, Nahan is a perfect romantic getaway. Lying among the lofty Shivalik range overlooking lush green fields, dirt free roads and clean streets, this small hill station serves as an ideal holiday destination.",April to September
Lavasa,3.6,"Known as India's newest hill station, the Lavasa Corporation is constructing this private city. The city is a beautiful project, stylistically based on the Italian town Portofino. Spreading across 7 hills, covering an area of 25000 acres, Lavasa is a perfect blend of beauty and infrastructure.",Throughout the year
